Instrument.Name,Code,Expansion,PatientSeverity,ControlSeverity,LISUpload,Report
Advia2400_3,n,n,1,1,yes,yes
Advia2400_3,r,r,1,1,yes,yes
Advia2400_3,s,s,1,1,yes,yes
Advia2400_3,t,t,1,1,yes,yes
Advia2400_3,u,u,5,5,yes,yes
Advia2400_4,*,*,5,5,yes,yes
Advia2400_4,/,/,1,1,yes,yes
Advia2400_4,B,B,1,1,yes,yes
Advia2400_4,C,C,1,1,yes,yes
Advia2400_4,D,D,1,1,yes,yes
Advia2400_4,E,E,1,1,yes,yes
Advia2400_4,H,H,1,1,yes,yes
Advia2400_4,I,I,1,1,yes,yes
Advia2400_4,L,L,1,1,yes,yes
Advia2400_4,N,N,1,1,yes,yes
Advia2400_4,P,P,1,1,yes,yes
Advia2400_4,R,R,1,1,yes,yes
Advia2400_4,S,S,1,1,yes,yes
Advia2400_4,T,T,1,1,yes,yes
Advia2400_4,U,U,1,1,yes,yes
Advia2400_4,d,d,5,5,yes,yes
Advia2400_4,h,h,1,1,yes,yes
Advia2400_4,l,l,1,1,yes,yes
Advia2400_4,n,n,1,1,yes,yes
Advia2400_4,r,r,1,1,yes,yes
Advia2400_4,s,s,1,1,yes,yes
Advia2400_4,t,t,1,1,yes,yes
Advia2400_4,u,u,5,5,yes,yes
Advia2400_5,*,*,5,5,yes,yes
Advia2400_5,/,/,1,1,yes,yes
Advia2400_5,B,B,1,1,yes,yes
Advia2400_5,C,C,1,1,yes,yes
Advia2400_5,D,D,1,1,yes,yes
Advia2400_5,E,E,1,1,yes,yes
Advia2400_5,H,H,1,1,yes,yes
Advia2400_5,I,I,1,1,yes,yes
Advia2400_5,L,L,1,1,yes,yes
Advia2400_5,N,N,1,1,yes,yes
Advia2400_5,P,P,1,1,yes,yes
Advia2400_5,R,R,1,1,yes,yes
Advia2400_5,S,S,1,1,yes,yes
Advia2400_5,T,T,1,1,yes,yes
Advia2400_5,U,U,1,1,yes,yes
Advia2400_5,d,d,5,5,yes,yes
Advia2400_5,h,h,1,1,yes,yes
Advia2400_5,l,l,1,1,yes,yes
Advia2400_5,n,n,1,1,yes,yes
Advia2400_5,r,r,1,1,yes,yes
Advia2400_5,s,s,1,1,yes,yes
Advia2400_5,t,t,1,1,yes,yes
Advia2400_5,u,u,5,5,yes,yes
Advia2400_6,*,*,5,5,yes,yes
Advia2400_6,/,/,1,1,yes,yes
Advia2400_6,B,B,1,1,yes,yes
Advia2400_6,C,C,1,1,yes,yes
Advia2400_6,D,D,1,1,yes,yes
Advia2400_6,E,E,1,1,yes,yes
Advia2400_6,H,H,1,1,yes,yes
Advia2400_6,I,I,1,1,yes,yes
Advia2400_6,L,L,1,1,yes,yes
Advia2400_6,N,N,1,1,yes,yes
Advia2400_6,P,P,1,1,yes,yes
Advia2400_6,R,R,1,1,yes,yes
Advia2400_6,S,S,1,1,yes,yes
Advia2400_6,T,T,1,1,yes,yes
Advia2400_6,U,U,1,1,yes,yes
Advia2400_6,d,d,5,5,yes,yes
Advia2400_6,h,h,1,1,yes,yes
Advia2400_6,l,l,1,1,yes,yes
Advia2400_6,n,n,1,1,yes,yes
Advia2400_6,r,r,1,1,yes,yes
Advia2400_6,s,s,1,1,yes,yes
Advia2400_6,t,t,1,1,yes,yes
Advia2400_6,u,u,5,5,yes,yes
CentaurXP_2,<,Under Range,1,1,yes,yes
CentaurXP_2,< Conc Range,< Conc Range,1,1,yes,yes
CentaurXP_2,< Dilution Pt,< Dilution Pt,1,1,yes,yes
CentaurXP_2,< Index Range,< Index Range,1,1,yes,yes
CentaurXP_2,< Linearity,< Linearity,1,1,yes,yes
CentaurXP_2,>,Over Range,1,1,yes,yes
CentaurXP_2,> Conc Range,> Conc Range,1,1,yes,yes
CentaurXP_2,> Dilution Pt,> Dilution Pt,1,1,yes,yes
CentaurXP_2,> Index Range,> Index Range,1,1,yes,yes
CentaurXP_2,> Linearity,> Linearity,1,1,yes,yes
CentaurXP_2,Above Check,Above Check,1,1,yes,yes
CentaurXP_2,Autorepeat,Autorepeat,1,1,yes,yes
CentaurXP_2,Below Check,Below Check,1,1,yes,yes
CentaurXP_2,Cal Accepted,Cal Accepted,1,1,yes,yes
CentaurXP_2,Cal Assigned,Cal Assigned,1,1,yes,yes
CentaurXP_2,Cal Invalid,Cal Invalid,1,1,yes,yes
CentaurXP_2,Clot detected,Clot detected,1,1,yes,yes
CentaurXP_2,Conf N/A,Conf N/A,1,1,yes,yes
CentaurXP_2,Ctrl Br Restricted,Restricted Control Bracketed,1,1,yes,yes
CentaurXP_2,Ctrl Bracketed,Control Bracketed,1,1,yes,yes
CentaurXP_2,Diluted,Diluted,1,1,yes,yes
CentaurXP_2,Edited,Edited,1,1,yes,yes
CentaurXP_2,Entered,Entered,1,1,yes,yes
CentaurXP_2,Excluded,Excluded,1,1,yes,yes
CentaurXP_2,H,High,1,1,yes,yes
CentaurXP_2,High CV,High CV,1,1,yes,yes
CentaurXP_2,Insufficient,Insufficient,1,1,yes,yes
CentaurXP_2,Integrity Error,Integrity Error,1,1,yes,yes
CentaurXP_2,Investigational,Investigational,1,1,yes,yes
CentaurXP_2,L,Low,1,1,yes,yes
CentaurXP_2,Manual Dilution,Manual Dilution,1,1,yes,yes
CentaurXP_2,Material Expired,Material Expired,1,1,yes,yes
CentaurXP_2,No Cal Lot Match,No Cal Lot Match,1,1,yes,yes
CentaurXP_2,No Calculation,No Calculation,1,1,yes,yes
CentaurXP_2,No Dil Allowed,No Dil Allowed,1,1,yes,yes
CentaurXP_2,No Lot Match,No Lot Match,1,1,yes,yes
CentaurXP_2,No Reagent,No Reagent,1,1,yes,yes
CentaurXP_2,Operator Entered,Operator Entered,1,1,yes,yes
CentaurXP_2,Out,Out,1,1,yes,yes
CentaurXP_2,Overdiluted,Overdiluted,1,1,yes,yes
CentaurXP_2,Redilute,Redilute,1,1,yes,yes
CentaurXP_2,Repeated,Repeated,1,1,yes,yes
CentaurXP_2,Restricted,Restricted,1,1,yes,yes
CentaurXP_2,Signal Error,Signal Error,1,1,yes,yes
CentaurXP_2,Waived,Waived,1,1,yes,yes
CentaurXP_3,<,Under Range,1,1,yes,yes
CentaurXP_3,< Conc Range,< Conc Range,1,1,yes,yes
CentaurXP_3,< Dilution Pt,< Dilution Pt,1,1,yes,yes
CentaurXP_3,< Index Range,< Index Range,1,1,yes,yes
CentaurXP_3,< Linearity,< Linearity,1,1,yes,yes
CentaurXP_3,>,Over Range,1,1,yes,yes
CentaurXP_3,> Conc Range,> Conc Range,1,1,yes,yes
CentaurXP_3,> Dilution Pt,> Dilution Pt,1,1,yes,yes
CentaurXP_3,> Index Range,> Index Range,1,1,yes,yes
CentaurXP_3,> Linearity,> Linearity,1,1,yes,yes
CentaurXP_3,Above Check,Above Check,1,1,yes,yes
CentaurXP_3,Autorepeat,Autorepeat,1,1,yes,yes
CentaurXP_3,Below Check,Below Check,1,1,yes,yes
